Date,Open,Close,PercentChange
01/03/2000,1469.25,1455.22,-0.009549
01/04/2000,1455.22,1399.42,-0.038345
01/05/2000,1399.42,1402.11,0.001922
01/06/2000,1402.11,1403.45,0.000956
01/07/2000,1403.45,1441.47,0.027090
01/10/2000,1441.47,1457.60,0.011190
01/11/2000,1457.60,1438.56,-0.013063
01/12/2000,1438.56,1432.25,-0.004386
01/13/2000,1432.25,1449.68,0.012170
01/14/2000,1449.68,1465.15,0.010671
01/18/2000,1465.15,1455.14,-0.006832
01/19/2000,1455.14,1455.90,0.000522
01/20/2000,1455.90,1445.57,-0.007095
01/21/2000,1445.57,1441.36,-0.002912
01/24/2000,1441.36,1401.53,-0.027634
01/25/2000,1401.53,1410.03,0.006065
01/26/2000,1410.03,1404.09,-0.004213
01/27/2000,1404.09,1398.56,-0.003938
01/28/2000,1398.56,1360.16,-0.027457
01/31/2000,1360.16,1394.46,0.025218
02/01/2000,1394.46,1409.28,0.010628
02/02/2000,1409.28,1409.12,-0.000114
02/03/2000,1409.12,1424.97,0.011248
02/04/2000,1424.97,1424.37,-0.000421
02/07/2000,1424.37,1424.24,-0.000091
02/08/2000,1424.24,1441.72,0.012273
02/09/2000,1441.72,1411.71,-0.020815
02/10/2000,1411.70,1416.83,0.003634
02/11/2000,1416.83,1387.12,-0.020969
02/14/2000,1387.12,1389.94,0.002033
02/15/2000,1389.94,1402.05,0.008713
02/16/2000,1402.05,1387.67,-0.010256
02/17/2000,1387.67,1388.26,0.000425
02/18/2000,1388.26,1346.09,-0.030376
02/22/2000,1346.09,1352.17,0.004517
02/23/2000,1352.17,1360.69,0.006301
02/24/2000,1360.69,1353.43,-0.005336
02/25/2000,1353.43,1333.36,-0.014829
02/28/2000,1333.36,1348.05,0.011017
02/29/2000,1348.05,1366.42,0.013627
03/01/2000,1366.42,1379.19,0.009346
03/02/2000,1379.19,1381.76,0.001863
03/03/2000,1381.76,1409.17,0.019837
03/06/2000,1409.17,1391.28,-0.012695
03/07/2000,1391.28,1355.62,-0.025631
03/08/2000,1355.62,1366.70,0.008173
03/09/2000,1366.70,1401.69,0.025602
03/10/2000,1401.69,1395.07,-0.004723
03/13/2000,1395.07,1383.62,-0.008207
03/14/2000,1383.62,1359.15,-0.017685
03/15/2000,1359.15,1392.14,0.024273
03/16/2000,1392.15,1458.47,0.047639
03/17/2000,1458.47,1464.47,0.004114
03/20/2000,1464.47,1456.63,-0.005353
03/21/2000,1456.63,1493.87,0.025566
03/22/2000,1493.87,1500.64,0.004532
03/23/2000,1500.64,1527.35,0.017799
03/24/2000,1527.35,1527.46,0.000072
03/27/2000,1527.46,1523.86,-0.002357
03/28/2000,1523.86,1507.73,-0.010585
03/29/2000,1507.73,1508.52,0.000524
03/30/2000,1508.52,1487.92,-0.013656
03/31/2000,1487.92,1498.58,0.007164
04/03/2000,1498.58,1505.97,0.004931
04/04/2000,1505.98,1494.73,-0.007470
04/05/2000,1494.73,1487.37,-0.004924
04/06/2000,1487.37,1501.34,0.009392
04/07/2000,1501.34,1516.35,0.009998
04/10/2000,1516.35,1504.46,-0.007841
04/11/2000,1504.46,1500.59,-0.002572
04/12/2000,1500.59,1467.17,-0.022271
04/13/2000,1467.17,1440.51,-0.018171
04/14/2000,1440.51,1356.56,-0.058278
04/17/2000,1356.56,1401.44,0.033084
04/18/2000,1401.44,1441.61,0.028663
04/19/2000,1441.61,1427.47,-0.009808
04/20/2000,1427.47,1434.54,0.004953
04/24/2000,1434.54,1429.86,-0.003262
04/25/2000,1429.86,1477.44,0.033276
04/26/2000,1477.44,1460.99,-0.011134
04/27/2000,1460.99,1464.92,0.002690
04/28/2000,1464.92,1452.43,-0.008526
05/01/2000,1452.43,1468.25,0.010892
05/02/2000,1468.25,1446.29,-0.014957
05/03/2000,1446.29,1415.10,-0.021566
05/04/2000,1415.10,1409.57,-0.003908
05/05/2000,1409.57,1432.63,0.016360
05/08/2000,1432.63,1424.17,-0.005905
05/09/2000,1424.17,1412.14,-0.008447
05/10/2000,1412.14,1383.05,-0.020600
05/11/2000,1383.05,1407.81,0.017902
05/12/2000,1407.81,1420.96,0.009341
05/15/2000,1420.96,1452.36,0.022098
05/16/2000,1452.36,1466.04,0.009419
05/17/2000,1466.04,1447.80,-0.012442
05/18/2000,1447.80,1437.21,-0.007315
05/19/2000,1437.21,1406.95,-0.021055
05/22/2000,1406.95,1400.72,-0.004428
05/23/2000,1400.72,1373.86,-0.019176
05/24/2000,1373.86,1399.05,0.018335
05/25/2000,1399.05,1381.52,-0.012530
05/26/2000,1381.52,1378.02,-0.002533
05/30/2000,1378.02,1422.45,0.032242
05/31/2000,1422.44,1420.60,-0.001294
06/01/2000,1420.60,1448.81,0.019858
06/02/2000,1448.81,1477.26,0.019637
06/05/2000,1477.26,1467.63,-0.006519
06/06/2000,1467.63,1457.84,-0.006671
06/07/2000,1457.84,1471.36,0.009274
06/08/2000,1471.36,1461.67,-0.006586
06/09/2000,1461.67,1456.95,-0.003229
06/12/2000,1456.95,1446.00,-0.007516
06/13/2000,1446.00,1469.44,0.016210
06/14/2000,1469.44,1470.54,0.000749
06/15/2000,1470.54,1478.73,0.005569
06/16/2000,1478.73,1464.46,-0.009650
06/19/2000,1464.46,1486.00,0.014708
06/20/2000,1486.00,1475.95,-0.006763
06/21/2000,1475.95,1479.13,0.002155
06/22/2000,1479.13,1452.18,-0.018220
06/23/2000,1452.18,1441.48,-0.007368
06/26/2000,1441.48,1455.31,0.009594
06/27/2000,1455.31,1450.55,-0.003271
06/28/2000,1450.55,1454.82,0.002944
06/29/2000,1454.82,1442.39,-0.008544
06/30/2000,1442.39,1454.60,0.008465
07/03/2000,1454.60,1469.54,0.010271
07/05/2000,1469.54,1446.23,-0.015862
07/06/2000,1446.23,1456.67,0.007219
07/07/2000,1456.67,1478.90,0.015261
